ID,Group Number,Category Number,Name,Manifest,Bundle Path,File Name,Child Attachment Transform,Animation,Color1,Pattern1,Color2,Pattern2,Color3,Pattern3,Scaling,Emission
1,29664,10002,CunnilingusA1,,studio/com_ax_mmd_opennsfw-voicepack[m]-lewddmonv2/voicepack[m]_[lewddmon]/bundle.unity3d,cunnilingus_a1,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2,29664,10002,CunnilingusA2,,studio/com_ax_mmd_opennsfw-voicepack[m]-lewddmonv2/voicepack[m]_[lewddmon]/bundle.unity3d,cunnilingus_a2,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3,29664,10002,CunnilingusA3,,studio/com_ax_mmd_opennsfw-voicepack[m]-lewddmonv2/voicepack[m]_[lewddmon]/bundle.unity3d,cunnilingus_a3,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4,29664,10002,CunnilingusC1,,studio/com_ax_mmd_opennsfw-voicepack[m]-lewddmonv2/voicepack[m]_[lewddmon]/bundle.unity3d,cunnilingus_c1,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
5,29664,10002,CunnilingusC2,,studio/com_ax_mmd_opennsfw-voicepack[m]-lewddmonv2/voicepack[m]_[lewddmon]/bundle.unity3d,cunnilingus_c2,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
6,29664,10002,CunnilingusC3,,studio/com_ax_mmd_opennsfw-voicepack[m]-lewddmonv2/voicepack[m]_[lewddmon]/bundle.unity3d,cunnilingus_c3,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
7,29664,10002,CunnilingusC4,,studio/com_ax_mmd_opennsfw-voicepack[m]-lewddmonv2/voicepack[m]_[lewddmon]/bundle.unity3d,cunnilingus_c4,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
8,29664,10002,ExertionAngryD1,,studio/com_ax_mmd_opennsfw-voicepack[m]-lewddmonv2/voicepack[m]_[lewddmon]/bundle.unity3d,exertion_angry_d1,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
9,29664,10002,ExertionAngryD2,,studio/com_ax_mmd_opennsfw-voicepack[m]-lewddmonv2/voicepack[m]_[lewddmon]/bundle.unity3d,exertion_angry_d2,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
10,29664,10002,ExertionAngryD3,,studio/com_ax_mmd_opennsfw-voicepack[m]-lewddmonv2/voicepack[m]_[lewddmon]/bundle.unity3d,exertion_angry_d3,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
