ID,Group Number,Category Number,Name,Manifest,Bundle Path,File Name,Child Attachment Transform,Animation,Color1,Pattern1,Color2,Pattern2,Color3,Pattern3,Scaling,Emission
1,29664,602,(S)LewdPullout01,,studio/com_ax_mmd_opennsfw-06-in&out/lewd_pullout_[audioelk]/bundle.unity3d,lewd_pullout01,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2,29664,602,(S)LewdPullout02,,studio/com_ax_mmd_opennsfw-06-in&out/lewd_pullout_[audioelk]/bundle.unity3d,lewd_pullout02,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3,29664,602,(S)LewdPullout03,,studio/com_ax_mmd_opennsfw-06-in&out/lewd_pullout_[audioelk]/bundle.unity3d,lewd_pullout03,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4,29664,602,(S)LewdPullout04,,studio/com_ax_mmd_opennsfw-06-in&out/lewd_pullout_[audioelk]/bundle.unity3d,lewd_pullout04,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
5,29664,603,(S)SlideInOut60BPM01,,studio/com_ax_mmd_opennsfw-06-in&out/slide_in-out_[lehornysfx3d]/bundle.unity3d,slide_in_out60bpm01,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
6,29664,603,(S)SlideInOut60BPM02,,studio/com_ax_mmd_opennsfw-06-in&out/slide_in-out_[lehornysfx3d]/bundle.unity3d,slide_in_out60bpm02,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
7,29664,603,(S)SlideInOut60BPM03,,studio/com_ax_mmd_opennsfw-06-in&out/slide_in-out_[lehornysfx3d]/bundle.unity3d,slide_in_out60bpm03,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
8,29664,603,(S)SlideInOut60BPM04,,studio/com_ax_mmd_opennsfw-06-in&out/slide_in-out_[lehornysfx3d]/bundle.unity3d,slide_in_out60bpm04,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
9,29664,603,(S)SlideInOut60BPM05,,studio/com_ax_mmd_opennsfw-06-in&out/slide_in-out_[lehornysfx3d]/bundle.unity3d,slide_in_out60bpm05,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
10,29664,603,(S)SlideInOut60BPM06,,studio/com_ax_mmd_opennsfw-06-in&out/slide_in-out_[lehornysfx3d]/bundle.unity3d,slide_in_out60bpm06,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
