ID,Group Number,Category Number,Name,Manifest,Bundle Path,File Name,Child Attachment Transform,Animation,Color1,Pattern1,Color2,Pattern2,Color3,Pattern3,Scaling,Emission
1,29664,402,(S)Heartbeat01,,studio/com_ax_mmd_opennsfw-04-bodynoises/heartbeat_[---]/bundle.unity3d,heartbeat01,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2,29664,402,(S)Heartbeat02,,studio/com_ax_mmd_opennsfw-04-bodynoises/heartbeat_[---]/bundle.unity3d,heartbeat02,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3,29664,402,(S)Heartbeat03,,studio/com_ax_mmd_opennsfw-04-bodynoises/heartbeat_[---]/bundle.unity3d,heartbeat03,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4,29664,402,(S)Heartbeat04,,studio/com_ax_mmd_opennsfw-04-bodynoises/heartbeat_[---]/bundle.unity3d,heartbeat04,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
5,29664,402,(S)Heartbeat05,,studio/com_ax_mmd_opennsfw-04-bodynoises/heartbeat_[---]/bundle.unity3d,heartbeat05,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
6,29664,402,(S)Heartbeat06,,studio/com_ax_mmd_opennsfw-04-bodynoises/heartbeat_[---]/bundle.unity3d,heartbeat06,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
7,29664,402,(S)Heartbeat07,,studio/com_ax_mmd_opennsfw-04-bodynoises/heartbeat_[---]/bundle.unity3d,heartbeat07,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
8,29664,402,(S)Heartbeat08,,studio/com_ax_mmd_opennsfw-04-bodynoises/heartbeat_[---]/bundle.unity3d,heartbeat08,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
9,29664,402,(S)Heartbeat09,,studio/com_ax_mmd_opennsfw-04-bodynoises/heartbeat_[---]/bundle.unity3d,heartbeat09,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
10,29664,402,(S)Heartbeat10,,studio/com_ax_mmd_opennsfw-04-bodynoises/heartbeat_[---]/bundle.unity3d,heartbeat10,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
